UserId,MFAMethod,CreatedAt,ClientIP,Application,Browser,OS,Unit,Title,RiskScore
U00035,SMS,2025-03-12 06:01:54.056109,10.4.191.91,CRM,Safari,Windows 11,Satış,Müdür,37.5
U00062,Mail,2025-03-12 06:07:16.463066,10.3.252.147,HR System,Chrome,macOS,Pazarlama,Direktör,38.0
U00078,SMS,2025-03-12 06:12:21.361328,10.0.102.130,CRM,Safari,Windows 10,Finans,Stajyer,37.5
U00061,OTP,2025-03-12 06:16:36.141772,192.168.2.189,CRM,Chrome,Windows 10,Pazarlama,Müdür,37.5
U00014,Biometric,2025-03-12 06:17:59.269540,192.168.7.213,Finance,Safari,Linux,Bilgi İşlem,Direktör,39.0
U00050,SMS,2025-03-12 06:23:25.277964,192.168.2.165,Finance,Chrome,macOS,Finans,Müdür,39.0
U00002,SMS,2025-03-12 06:25:03.430454,10.0.139.142,Finance,Chrome,Linux,Pazarlama,Direktör,39.0
U00052,Mail,2025-03-12 06:29:24.487792,192.168.7.13,CRM,Firefox,Windows 11,Finans,Direktör,37.5
U00011,Mail,2025-03-12 06:32:49.176532,192.168.7.12,CRM,Chrome,Windows 10,Pazarlama,Takım Lideri,37.5
U00095,Mail,2025-03-12 06:33:49.826563,192.168.6.82,CRM,Firefox,Ubuntu,Pazarlama,Genel Müdür,37.5
U00003,Biometric,2025-03-12 06:39:41.324592,192.168.7.9,HR System,Edge,Windows 10,Finans,Takım Lideri,38.0
U00059,OTP,2025-03-12 07:04:22.745321,192.168.3.14,HR System,Chrome,Ubuntu,Bilgi İşlem,Müdür,35.5
U00088,Mail,2025-03-12 07:13:46.087338,10.4.185.96,Finance,Chrome,Windows 11,İnsan Kaynakları,Müdür,36.5
U00043,SMS,2025-03-12 07:16:37.768747,10.2.115.37,Email,Chrome,Linux,Satış,Stajyer,34.5
U00077,SMS,2025-03-12 07:21:00.161499,192.168.0.122,HR System,Firefox,macOS,İnsan Kaynakları,Genel Müdür,35.5
U00059,OTP,2025-03-12 07:24:06.745371,192.168.3.30,HR System,Chrome,Ubuntu,Bilgi İşlem,Müdür,35.5
U00098,SMS,2025-03-12 07:28:23.628908,192.168.5.19,Email,Safari,macOS,Bilgi İşlem,Uzman,34.5
U00099,OTP,2025-03-12 07:41:32.010515,10.0.166.103,Finance,Safari,Linux,Pazarlama,Direktör,53.5
U00014,Biometric,2025-03-12 07:42:52.269588,192.168.7.165,HR System,Safari,Linux,Bilgi İşlem,Direktör,35.5
U00081,SMS,2025-03-12 07:45:05.099085,192.168.0.228,CRM,Chrome,macOS,Finans,Takım Lideri,35.0
U00050,OTP,2025-03-12 08:04:40.277913,192.168.2.179,Email,Chrome,macOS,Finans,Müdür,35.0
U00009,Mail,2025-03-12 08:05:08.186384,192.168.6.16,HR System,Chrome,Windows 10,Yönetim,Stajyer,28.0
U00064,SMS,2025-03-12 08:08:36.462045,10.4.182.17,Finance,Safari,Linux,Pazarlama,Müdür,47.5
U00006,Mail,2025-03-12 08:11:59.997199,10.2.87.239,Finance,Firefox,Windows 10,Finans,Takım Lideri,29.0
U00087,Mail,2025-03-12 08:13:38.629011,192.168.7.34,Admin Panel,Firefox,macOS,Yönetim,Uzman,30.0
U00011,Mail,2025-03-12 08:17:26.176610,192.168.7.67,Admin Panel,Chrome,Windows 10,Pazarlama,Takım Lideri,30.0
U00039,SMS,2025-03-12 08:18:03.871733,10.4.94.223,HR System,Chrome,Windows 10,Bilgi İşlem,Genel Müdür,28.0
U00081,SMS,2025-03-12 08:18:45.099192,192.168.0.149,CRM,Chrome,macOS,Finans,Takım Lideri,27.5
U00086,Mail,2025-03-12 08:19:53.609973,192.168.7.26,CRM,Safari,Windows 10,Finans,Direktör,27.5
U00041,SMS,2025-03-12 08:28:40.256764,192.168.4.33,CRM,Chrome,Windows 11,Pazarlama,Genel Müdür,27.5
U00051,Mail,2025-03-12 08:31:38.596511,10.4.171.133,HR System,Edge,Ubuntu,İnsan Kaynakları,Direktör,28.0
U00066,OTP,2025-03-12 08:35:32.728798,192.168.5.37,Admin Panel,Chrome,Windows 11,Yönetim,Müdür,30.0
U00065,SMS,2025-03-12 08:36:15.530148,192.168.6.4,Admin Panel,Chrome,Windows 10,Yönetim,Uzman,30.0
U00080,SMS,2025-03-12 08:37:45.889506,192.168.4.18,Email,Firefox,Windows 11,Pazarlama,Genel Müdür,27.0
U00049,SMS,2025-03-12 08:41:23.000521,192.168.2.96,CRM,Opera,Windows 10,Yönetim,Direktör,27.5
U00053,OTP,2025-03-12 08:50:09.822812,192.168.7.54,Finance,Chrome,Ubuntu,Yönetim,Genel Müdür,29.0
U00017,Biometric,2025-03-12 08:53:28.994727,192.168.0.218,CRM,Edge,Linux,Finans,Direktör,27.5
U00086,Mail,2025-03-12 08:54:08.609923,192.168.0.88,Email,Opera,Windows 11,Finans,Direktör,39.0
U00010,OTP,2025-03-12 08:58:10.561093,10.4.188.236,CRM,Firefox,Windows 11,Pazarlama,Takım Lideri,27.5
U00069,Biometric,2025-03-12 09:01:36.388297,192.168.5.30,Finance,Chrome,Windows 10,Satış,Direktör,29.0
U00043,SMS,2025-03-12 09:02:25.768696,192.168.9.29,Email,Chrome,Linux,Satış,Stajyer,27.0
U00034,Biometric,2025-03-12 09:03:54.230934,10.4.92.100,CRM,Firefox,Windows 10,İnsan Kaynakları,Genel Müdür,27.5
U00009,Mail,2025-03-12 09:10:28.186433,192.168.6.62,HR System,Chrome,Windows 10,Yönetim,Stajyer,28.0
U00017,Biometric,2025-03-12 09:20:47.994776,192.168.0.88,Email,Safari,Windows 11,Finans,Direktör,39.0
U00071,Mail,2025-03-12 09:22:06.960757,192.168.3.58,Finance,Safari,Windows 11,Yönetim,Müdür,29.0
U00054,OTP,2025-03-12 09:22:19.270290,10.1.35.135,CRM,Safari,Linux,Satış,Takım Lideri,27.5
U00018,SMS,2025-03-12 09:23:17.259339,192.168.7.224,Admin Panel,Chrome,macOS,Finans,Takım Lideri,30.0
U00008,SMS,2025-03-12 09:24:12.789441,192.168.0.64,CRM,Chrome,macOS,Pazarlama,Stajyer,27.5
U00055,OTP,2025-03-12 09:27:34.292364,192.168.6.98,Email,Chrome,Windows 11,Satış,Stajyer,27.0
U00013,Biometric,2025-03-12 09:33:50.827661,192.168.2.10,Email,Firefox,Windows 10,Pazarlama,Uzman,27.0
